vw,f,vs,Ra
-2.75190836,-3.677759783,3.824689285,-0.302636724
-3.09918165,-4.194036594,4.001287737,-0.329383129
-2.668947399,-3.360423244,3.602157485,-0.360322714
-2.590946596,-3.684364587,4.004408706,-0.324911332
-2.781477859,-4.168822314,3.694797467,-0.354601923
-3.102789365,-4.193620188,4.002693187,-0.330724025
-2.65848712,-3.35715599,3.609846285,-0.362818282
-2.259876312,-3.362038463,4.009811868,-0.445926633
-2.767913387,-3.694271895,3.825978142,-0.299252517
-2.258582745,-3.352816669,4.001028905,-0.447351301
-3.272242582,-4.208307185,3.826610343,-0.18408613
-2.739762686,-3.671465476,3.83122017,-0.307172026
-3.267483253,-4.191316222,3.821913222,-0.185138965
-2.424550523,-3.345367703,3.821899769,-0.375250083
-2.745200527,-3.678478053,3.833562636,-0.304249403
-3.019731902,-3.692284263,3.584723547,-0.2729397
-3.007828738,-3.704676377,3.610481975,-0.275432022
-3.093482913,-4.180815036,4.000979772,-0.331454127
-2.998173675,-3.693633211,3.603784841,-0.27458005
-2.600630919,-3.701338018,4.007275812,-0.322823317
-3.26667389,-4.186589408,3.816220651,-0.184523722
-3.536490124,-4.209281276,3.589244686,-0.183222429
-3.098952683,-4.200276756,4.00785335,-0.331282849
-3.079824903,-4.184966641,4.011168828,-0.334392137
-2.761739816,-3.687354215,3.828072631,-0.303549898
-2.988226242,-3.682739134,3.602391847,-0.276809566
-2.771454714,-3.692337278,3.821325684,-0.299472512
-2.588360806,-2.840948531,3.618357569,-0.372960433
-2.701964159,-3.235023568,3.601550754,-0.249882388
-2.252028513,-3.353590769,4.007969278,-0.44930149
-3.494091468,-4.206698524,3.611003165,-0.185619878
-3.519510668,-4.215817349,3.606120921,-0.186768285
-3.00608618,-3.694839567,3.5949266,-0.272382095
-3.835744965,-4.152738026,3.929932437,-0.295314752
-2.599187514,-3.694487293,4.004060626,-0.322966522
-3.081118735,-4.186067277,4.012695611,-0.333885656
-2.75294239,-3.670377425,3.819340564,-0.303244337
-2.993192248,-3.702418187,3.621079742,-0.276871951
-2.667128136,-3.356178792,3.597142954,-0.359415512
-2.97718148,-2.922530158,3.775599247,-0.361676617
-3.109623774,-3.274003691,3.824662749,-0.394319168
-2.249992228,-3.345460457,4.003031306,-0.449365769
-3.137262943,-4.238550102,4.002644615,-0.325519675
-2.600701934,-3.701318997,4.007725106,-0.322949678
-2.250250059,-3.346594673,4.006637529,-0.453865383
-2.41935963,-3.340316709,3.821435406,-0.375334076
-3.004729799,-3.691485854,3.593433794,-0.273407611
-2.604972697,-3.709936076,4.008862692,-0.320546798
-2.644024438,-3.348731185,3.613158157,-0.36538392
-2.262209458,-3.358838296,4.003172826,-0.447232588
-2.588008713,-3.691692904,4.008952167,-0.324656914
-3.265527878,-4.2066158,3.833288469,-0.186743821
-2.261818699,-3.360404488,4.004931805,-0.447560353
-2.776036713,-3.696710778,3.81988764,-0.299521884
-2.977060673,-3.67535341,3.598417315,-0.276798227
-2.943757297,-2.377545665,3.884833373,-0.34070265
-2.743683736,-3.674969339,3.830231385,-0.305831866
-2.778609209,-3.269471532,3.615926407,-0.298319558
-2.654231353,-3.350699629,3.604822043,-0.363163954
-3.001391241,-3.693447478,3.598786636,-0.27327073
-2.683139506,-3.370424169,3.604472317,-0.358010929
-3.078746179,-4.178408234,4.007920847,-0.333932052
-3.281117835,-4.199668193,3.817818864,-0.182787143
-2.995849038,-3.683383667,3.595081997,-0.278172424
-2.987919947,-3.692835855,3.61194417,-0.278045211
-2.993547998,-3.682705229,3.593825582,-0.275540123
-3.47905536,-4.193017536,3.608791945,-0.186301297
-2.879049408,-3.809213668,3.777505112,-0.340296484
-2.763476098,-3.683571549,3.821045264,-0.302086416
-2.991324189,-3.683177995,3.598172234,-0.277673689
-2.260808014,-3.35278384,3.999142513,-0.448293352
-3.254225287,-4.174925874,3.820077677,-0.187307891
-2.701171125,-2.610188627,3.824183665,-0.278894048
-3.261949589,-4.194081554,3.82434606,-0.184464825
-2.436413735,-3.354574348,3.821349907,-0.372756858
-2.767242932,-3.686695823,3.816955125,-0.298618568
-2.992178564,-3.68608307,3.600879122,-0.276130202
-3.496083616,-4.197872308,3.605349083,-0.187207345
-2.243631786,-3.347632164,4.01622351,-0.45776444
-3.100588817,-4.200305154,4.005568483,-0.328873546
-2.247626956,-3.341567693,4.002115458,-0.453409244
-2.441368349,-3.359871113,3.821453254,-0.371325039
-2.432864215,-3.358511464,3.827165288,-0.372808795
-3.129352936,-4.234357303,4.006279574,-0.32761093
-2.436360561,-3.352697531,3.817576309,-0.371708852
-2.427466966,-3.353300947,3.828895514,-0.373739531
-2.878083902,-3.277202916,3.743241374,-0.393158144
-2.417576051,-3.342784298,3.828260442,-0.377187454
-3.534482259,-4.207883205,3.592107312,-0.18379904
-3.256604324,-4.188762253,3.827951758,-0.186517883
-2.606847639,-3.713686531,4.008020835,-0.318048034
-2.990852287,-3.679662604,3.596108632,-0.277234382
-3.112342998,-4.210973121,4.006462301,-0.330015038
-2.752956284,-3.684507319,3.83026278,-0.302100105
-5.516830721,-2.700798457,3.638062048,-0.332385703
-2.423707066,-3.347781159,3.825760514,-0.375913682
-2.623550673,-2.924807024,3.920003709,-0.341597693
-2.967520563,-3.677101653,3.616112319,-0.282178045
-3.106752447,-4.202154984,4.003640265,-0.327967332
-3.287279558,-4.213046615,3.821468425,-0.182746928
-2.430013863,-3.355160599,3.82785256,-0.373546213
-3.271854151,-4.197600706,3.819743162,-0.183752125
-2.89162476,-4.219704131,3.886439235,-0.256579797
-3.484725601,-4.189735483,3.611802324,-0.189167877
-3.258082291,-4.177890678,3.817793366,-0.186682111
-2.250577731,-3.34938228,4.009052541,-0.451795068
-2.249885692,-3.347467865,4.005303925,-0.450887325
-2.424832769,-3.343177692,3.817601109,-0.37658031
-3.529839533,-4.233584823,3.607736488,-0.182345517
-2.589868989,-3.685204877,4.003681305,-0.325275343
-3.126345812,-4.244224556,4.012901503,-0.326949519
-3.248946319,-4.191691752,3.831419263,-0.187217381
-2.663595953,-6.16378212,3.977221262,-0.315767012
-2.597430099,-3.704408215,4.010883584,-0.322482682
-2.774176902,-2.585239612,3.605271917,-0.321005525
-2.85071656,-3.496730933,3.842948756,-0.259962567
-2.258250705,-3.363383326,4.011538214,-0.44933812
-2.774600368,-3.707561662,3.829979236,-0.299543552
-2.994828764,-3.684118719,3.59738512,-0.277707668
-2.117254884,-3.488431417,3.936127149,-0.3061331
-2.742666636,-3.669047986,3.827707419,-0.30726065
-3.656952666,-3.011783173,3.933782583,-0.355632131
-2.256011695,-3.354823928,4.002659505,-0.444851365
-2.429687395,-3.3575665,3.832564126,-0.374591135
-2.598013696,-3.695170096,4.004346197,-0.323764954
-2.999978897,-3.69430959,3.602761888,-0.274940751
-3.128802673,-4.236793727,4.009618529,-0.328913016
-3.473880895,-4.177046293,3.599438528,-0.187782217
-2.673991611,-3.364193705,3.602097493,-0.361164914
-3.245148604,-4.195236413,3.834685286,-0.186794636
-3.001867568,-3.69789574,3.6084041,-0.276718458
-2.994188625,-3.685608023,3.598447926,-0.275996522
-2.249632018,-3.347948265,4.007789153,-0.452589127
-3.124251084,-4.218547481,3.999724024,-0.326047018
-2.26490578,-3.358989235,4.000630542,-0.446846485
-2.247753845,-3.354071973,4.015515017,-0.452123618
-2.657633964,-3.356661357,3.606284895,-0.361135467
-3.644074082,-3.358993265,3.60215671,-0.317727674
-2.952948402,-3.659895483,3.607457647,-0.283419536
-2.994385689,-3.680111212,3.590918736,-0.274405099
-3.107015995,-4.209732051,4.009507352,-0.330366492
-3.284384866,-4.208867631,3.818602238,-0.182548466
-2.78031166,-3.693021129,3.816496181,-0.299259586
-2.771583035,-3.697572445,3.826514608,-0.300635856
-2.439619724,-3.362855618,3.826327948,-0.370706665
-3.481661098,-4.1830718,3.603506114,-0.186553
-3.508015821,-4.192659548,3.595567138,-0.184925445
-2.756474597,-3.686731927,3.830594177,-0.302541048
-2.774736898,-3.694299229,3.819946514,-0.298479508
-2.658323769,-3.353633037,3.600121806,-0.360889217
-2.432267406,-3.356034541,3.826152391,-0.374198379
-2.753568666,-3.677538678,3.823961997,-0.305060475
-2.726523605,-3.181519843,3.991378193,-0.327317358
-2.762524858,-3.690810615,3.826219105,-0.300877476
-3.018590142,-3.699228947,3.590691943,-0.272611647
-2.780596219,-3.694278162,3.813071907,-0.29647106
-2.739271412,-4.288244116,3.940308247,-0.323439428
-3.284932006,-4.204972467,3.81907045,-0.183246331
-3.499033889,-4.204144446,3.608696855,-0.1869854
-3.083172934,-4.188400595,4.011818358,-0.334429008
-2.666901081,-3.356568507,3.599370672,-0.36160946
-3.491135939,-4.190938153,3.603995447,-0.18726508
-2.571312971,-3.67365697,4.010029103,-0.329142144
-3.124451892,-4.227083821,4.005970304,-0.326675896
-2.447359374,-3.36644736,3.819657783,-0.368676036
-2.43824696,-3.358522594,3.822440073,-0.372460988
-2.414384831,-3.338291232,3.824823642,-0.376765021
-3.10367198,-4.212149193,4.011482148,-0.330754438
-3.521683737,-4.211348971,3.603713123,-0.185156757
-2.601466392,-3.70829646,4.010327044,-0.321156981
-3.110785411,-4.212561068,4.006336141,-0.328000347
-2.735198813,-3.667720057,3.835004794,-0.310087131
-2.648149199,-3.341607775,3.595893772,-0.364544646
-2.672604123,-3.358341448,3.59165007,-0.35706838
-3.091326466,-4.193560233,4.010769314,-0.333152889
-3.546139447,-4.219731487,3.595992703,-0.183982529
-3.278100991,-4.200529586,3.820565976,-0.184865107
-2.569435048,-7.631690333,3.771212032,-0.208186963
-2.726604666,-3.659067421,3.831542673,-0.309226609
-3.4933179,-4.199110142,3.610151071,-0.18685535
-3.277021052,-4.219938268,3.832880913,-0.18584308
-2.689332786,-4.256605233,3.83621119,-0.343407555
-2.752341752,-3.681190469,3.828946047,-0.303790423
-2.998230742,-3.687341349,3.597490816,-0.275911483
-3.007510403,-3.701273228,3.60390837,-0.272581182
-3.492173291,-4.180110238,3.597031203,-0.187446803
-2.409176835,-3.331014674,3.822778426,-0.379527005
-3.226667107,-2.570467882,3.706470053,-0.263836171
-2.69436606,-3.26683169,3.603959298,-0.356344694
-2.997178397,-3.687064522,3.598465127,-0.27728693
-3.111772995,-4.220352955,4.009367041,-0.32874174
-2.658752234,-3.355014388,3.605765747,-0.362600984
-2.747604336,-3.669984286,3.822950302,-0.30549889
-2.440724302,-3.357048717,3.817335322,-0.371101806
-2.76598006,-3.689103685,3.821934489,-0.299618303
-3.124013424,-4.225374085,4.006016509,-0.326128426
-3.002926957,-3.696183287,3.600787444,-0.274005336
-2.78163077,-3.709283443,3.826176829,-0.295774552
-2.429099518,-3.347375093,3.819730325,-0.374624255
-3.014412364,-3.700662622,3.59650591,-0.272174454
-3.285008137,-4.212621997,3.822379123,-0.183390748
-2.805473048,-4.599265835,3.824363452,-0.305362089
-3.112976307,-4.203446476,4.001312699,-0.328360085
-4.945841559,-3.93245018,4.00530173,-0.302169536
-2.416865003,-3.340966245,3.826877925,-0.377354045
-2.766272293,-3.693461225,3.82440392,-0.299402081
-3.254004072,-4.178491764,3.819267961,-0.185082797
-3.276690584,-4.201638236,3.81895935,-0.184465621
-2.254254071,-3.349825825,4.00192786,-0.450746013
-3.111751054,-4.212830808,4.007952797,-0.33098928
-2.431426241,-3.353428359,3.824947177,-0.374406425
-2.571352019,-3.682902945,4.02047225,-0.329987355
-2.993215251,-3.686139861,3.599531495,-0.275216744
-2.588653786,-3.68850362,4.009675608,-0.325885344
-2.597062804,-4.49590496,3.693347259,-0.346859779
-3.094161679,-4.182258599,4.002632119,-0.33053829
-3.017230267,-3.702089039,3.597070082,-0.273223433
-2.805452894,-2.758853638,3.784795812,-0.326059874
-3.258528977,-4.183804643,3.822655968,-0.185134431
-2.240857622,-3.342613447,4.014316215,-0.456503255
-3.093994489,-4.197424514,4.010834802,-0.331516043
-2.595944917,-3.697045897,4.009874755,-0.325324696
-3.277356907,-4.206738742,3.825699771,-0.185534153
-2.805251267,-3.076189498,3.650912242,-0.264075752
-2.431882859,-3.356866967,3.828598491,-0.374861104
-3.280442576,-4.197240424,3.816249288,-0.183606359
-3.44383441,-4.157447066,3.606658865,-0.19018978
-2.252470894,-3.354205603,4.012648707,-0.452812624
-2.591238563,-3.688115744,4.003745086,-0.325138089
-2.256209106,-3.351342076,4.003811106,-0.449562434
-2.434249804,-3.363424732,3.831891925,-0.37068856
-3.520815222,-4.210408198,3.603007245,-0.184604301
-2.587276697,-3.687703407,4.007648001,-0.324978857
-2.441839174,-3.350216577,3.80960236,-0.372636027
-2.593752175,-3.69246165,4.004664127,-0.321703841
-2.780471195,-3.70028283,3.82197865,-0.297175797
-3.081046599,-4.173582937,4.005353009,-0.333064271
-2.645986657,-3.346903494,3.609824395,-0.366532414
-2.746339038,-3.667104061,3.823337138,-0.306044238
-3.031625418,-3.706620853,3.587296504,-0.269659327
-3.102790265,-4.213975177,4.009707484,-0.32897752
-2.26081124,-3.359027792,4.003010647,-0.447410908
-2.598550866,-3.695102943,4.004061724,-0.324553448
-3.108205586,-4.203984791,4.006254614,-0.331174545
-2.436281038,-3.358474039,3.821721091,-0.372079085
-3.029052221,-3.717586421,3.600433987,-0.269916212
-2.161772996,-2.918003229,4.006044755,-0.313970788
-2.429605786,-3.356034283,3.828873389,-0.374156253
-2.429678298,-3.351222887,3.824178419,-0.374434744
-2.423615566,-3.346162843,3.823005769,-0.373543651
-3.511971753,-4.209862943,3.605296127,-0.184075012
-3.117258728,-4.215100853,4.003681811,-0.328979352
-2.425036648,-3.349324074,3.825267146,-0.374332966
-2.117169126,-3.276024911,3.935819179,-0.253315835
-2.260525151,-3.359401448,4.006262805,-0.446459727
-3.248819144,-4.190993433,3.830211704,-0.186872352
-2.962891732,-3.666569065,3.6032097,-0.278688941
-2.411810663,-3.335371725,3.823772573,-0.378755798
-3.519857429,-4.205405098,3.594792861,-0.183413287
-2.994892118,-3.687835678,3.599430671,-0.276905809
-3.258727073,-4.185042892,3.823082692,-0.186897327
-3.1142285,-4.204113113,4.000559292,-0.329526511
-2.592454453,-3.691997248,4.006583637,-0.325797989
-3.279208027,-4.194496848,3.819253058,-0.184352852
-2.428531999,-3.355790951,3.832854599,-0.376298801
-2.583635861,-3.682968594,4.009256815,-0.327599191
-3.245337925,-4.171663943,3.82443714,-0.187362303
-3.512698959,-4.199726848,3.59894764,-0.186113275
-2.655447493,-3.343720277,3.591509023,-0.362399623
-3.46893945,-4.17557238,3.598384756,-0.186449955
-3.093009139,-4.206258818,4.013716545,-0.331302183
-2.663238242,-3.358718512,3.606437028,-0.360939469
-2.269868603,-3.365549302,4.000252005,-0.442565209
-2.715237474,-3.778645869,3.83243023,-0.285615047
-2.437262921,-3.362041303,3.823493663,-0.3697002
-2.41816841,-3.344204948,3.830252349,-0.379214981
-2.579320929,-3.672206805,4.001822806,-0.327481199
-3.27132559,-4.185680776,3.815333012,-0.184881842
-2.249084954,-3.348184248,4.005855265,-0.450444523
-2.441998931,-3.363836147,3.825870424,-0.37129617
-3.269140915,-4.186084959,3.818582611,-0.185730558
-2.613745189,-3.711448949,4.000086035,-0.318716917
-2.253555039,-3.351019972,4.00543601,-0.449533482
-2.653771805,-3.346075293,3.597054276,-0.364519313
-3.013383924,-3.699592437,3.602083509,-0.275111849
-2.778835746,-3.694627384,3.818250859,-0.298779332
-2.26144063,-3.361907558,4.007837561,-0.446466878
-2.669122232,-3.360888559,3.603670566,-0.361488026
-3.132483567,-4.218762875,3.998769769,-0.326288726
-3.290034914,-4.214222851,3.821760363,-0.183001918
-2.564378619,-3.00110497,3.773483602,-0.381745171
-2.659422012,-3.34930693,3.594812463,-0.362143365
-2.658764126,-3.358850581,3.610762267,-0.362319649
-3.497314497,-4.193274246,3.603270528,-0.186979181
-2.252558684,-3.346520775,4.002616881,-0.45237431
-3.277267062,-4.208141174,3.82828558,-0.185235097
-3.472627827,-4.198871276,3.621866652,-0.188929079
-2.779981427,-3.701514285,3.820665288,-0.298672248
-2.44133111,-3.361694302,3.821634007,-0.370572343
-2.759821828,-3.683956342,3.82481112,-0.302540745
-3.015579675,-3.693376011,3.590099402,-0.274195003
-2.762225358,-3.689376453,3.824530417,-0.300850005
-2.435642298,-3.359025057,3.82870361,-0.373079261
-2.426684787,-3.343891516,3.818585599,-0.377060624
-3.532346444,-4.228097559,3.608092444,-0.185495468
-3.487977733,-4.190769319,3.604013695,-0.187276485
-2.98027794,-3.669807909,3.592507587,-0.278402226
-3.29664328,-4.220845029,3.822049143,-0.183500427
-2.655173792,-3.091113919,3.824836935,-0.337221673
-3.262664824,-4.198562086,3.826409327,-0.185253219
-2.747174899,-3.675749961,3.826915819,-0.305883468
-2.599220767,-3.700862734,4.006677403,-0.321004148
-2.583512752,-3.683717864,4.00772708,-0.326869217
-2.996469952,-3.685609908,3.595322497,-0.276609396
-2.250677552,-3.348475474,4.004510334,-0.44910228
-2.669036396,-3.358866726,3.600464598,-0.361934273
-2.733812787,-3.664469196,3.828757336,-0.306350072
-2.659295203,-3.34860323,3.593670847,-0.361781247
-2.670972666,-3.359040501,3.598426502,-0.36107667
-3.007414135,-3.699522901,3.604758901,-0.27416392
-2.466549697,-3.137291156,3.915266692,-0.317855119
-2.663851427,-3.353008867,3.594536321,-0.362018952
-3.236539959,-4.182770275,3.832020914,-0.188148371
-2.255941204,-3.348395944,3.998747985,-0.448793514
-3.509779504,-4.191583355,3.593803772,-0.185387871
-3.293154637,-4.215396007,3.818599587,-0.182711
-2.648308863,-3.346956087,3.607169184,-0.366503329
-2.591288933,-3.690608191,4.008182058,-0.324797149
-2.26261578,-3.357411051,4.000021363,-0.445918943
-2.665606782,-3.354036867,3.595707508,-0.361471825
-3.088500761,-4.19646199,4.013484831,-0.333815434
-3.490433648,-4.200335347,3.609847498,-0.186769792
-3.119181162,-4.222959156,4.008723912,-0.329152292
-3.490626201,-4.190272721,3.600969808,-0.18610639
-2.752766768,-3.680743732,3.828653959,-0.303854328
-3.093438168,-4.201078924,4.009595111,-0.330068946
-3.276419388,-4.196333684,3.819399407,-0.184766905
-2.259309469,-3.358455316,4.008563373,-0.448438525
-2.437525454,-3.361907116,3.825385166,-0.371334693
-3.479024352,-4.664903762,3.855392003,-0.266326156
-2.599297106,-3.695701547,4.004367253,-0.323092051
-3.545428323,-4.220130893,3.595600482,-0.182404909
-2.647291291,-3.341678807,3.59837498,-0.366283308
-2.250731395,-3.347205487,4.003580359,-0.450967896
-3.09749602,-4.20102881,4.010569239,-0.333332497
-3.533575703,-4.198956414,3.588622557,-0.183868849
-2.761125995,-3.693464463,3.830014228,-0.300675113
-2.99115076,-3.679399518,3.588942948,-0.27465248
-3.266107395,-4.187462819,3.819275942,-0.185301673
-3.11428022,-4.206487155,4.001733326,-0.328501174
-2.255504478,-3.349951252,4.000687192,-0.449992543
-2.421518722,-3.341592777,3.821608795,-0.376045156
-2.248030941,-3.346920805,4.007836129,-0.451601758
-2.26428083,-3.360234539,4.000275892,-0.445725627
-3.122462148,-4.212927448,4.001429181,-0.326516643
-2.251902062,-3.344683181,4.000563334,-0.450073176
-2.58188908,-3.670751295,4.000492294,-0.326129113
-3.12659087,-4.230508061,4.008925394,-0.328865734
-3.071455267,-4.177880703,4.014106003,-0.335222036
-2.994397399,-3.690603721,3.603980931,-0.27645151
-2.786652233,-3.701548856,3.815667557,-0.298642971
-3.496724378,-4.187911484,3.597193463,-0.18683789
-2.420047999,-3.340788914,3.821447386,-0.376570541
-2.65136741,-3.348647729,3.607453084,-0.364963
-2.589789351,-3.68893826,4.007894819,-0.325130493
-2.581213975,-3.68595536,4.008995697,-0.324901842
-2.746589181,-3.676553629,3.828679016,-0.304896308
-2.423032654,-3.345988864,3.826374123,-0.375669947
-2.593921981,-3.689421854,4.005344321,-0.32502418
-2.600062465,-3.697279494,4.002265063,-0.320797329
-2.428670517,-3.344161236,3.814441433,-0.374049135
-2.645962101,-3.345684793,3.606811443,-0.364784888
-2.748124897,-3.672496925,3.825527741,-0.305414052
-2.777057655,-3.699360481,3.822701492,-0.300823728
-3.526577407,-4.211312864,3.599087711,-0.184219749
-2.595468443,-3.69616516,4.005861534,-0.322606062
-3.478235044,-4.184385488,3.608580335,-0.188659595
-2.983913679,-3.682926861,3.604369368,-0.277645478
-2.764949691,-3.686779943,3.822781844,-0.300614156
-2.250707072,-3.345104083,3.999857232,-0.450104964
-2.418513014,-3.343255652,3.829663297,-0.376689223
-2.403093017,-4.044887434,3.715442323,-0.29938886
-2.986478908,-3.684159493,3.605365139,-0.277470455
-2.243944109,-3.344303694,4.009672193,-0.453492196
-3.11684892,-4.216628977,4.00733774,-0.33045591
-2.648015132,-3.342699952,3.603301524,-0.365609596
-3.002116264,-3.682846541,3.586822472,-0.27486885
-3.005136256,-3.690582048,3.594895841,-0.277176985
-2.246258741,-3.350766131,4.012956661,-0.450883741
-3.301689635,-4.218681894,3.817525942,-0.182175635
-2.657640341,-3.35175719,3.603516076,-0.362662156
-2.67565848,-3.364198569,3.598307733,-0.360331731
-3.010392256,-3.36698593,3.857461079,-0.29523685
-2.979199708,-3.673741037,3.596277133,-0.278476139
-2.575248511,-3.68067429,4.012467529,-0.327050576
-3.495527552,-4.180250219,3.59281335,-0.18516496
-2.599072531,-3.695776479,4.002479269,-0.322694784
-2.585877217,-3.686063018,4.007530822,-0.325681052
-3.079732043,-4.175611574,4.007263811,-0.333657319
-3.092021989,-4.188702904,4.009352879,-0.332821191
-2.660439758,-3.360100551,3.611636103,-0.360813024
-2.738097767,-3.836452824,3.696037241,-0.317366144
-3.114576147,-4.217812208,4.008062184,-0.329684283
-3.548744679,-4.237115694,3.605770482,-0.182794819
-2.590125406,-3.695084992,4.011619228,-0.324868891
-2.598842103,-3.698835518,4.007425034,-0.322808587
-2.582474364,-3.691890182,4.014467572,-0.325373815
-2.658202558,-3.356863416,3.607255186,-0.358763917
-2.993420259,-3.68917764,3.602211894,-0.275679225
-2.768692615,-3.689188543,3.82188318,-0.300421562
-3.261877315,-4.187407451,3.824417917,-0.186231721
-2.664463845,-3.354621698,3.601215423,-0.363381425
-3.54402573,-2.404938023,3.599267016,-0.30323534
-2.778887335,-3.703362453,3.825018072,-0.299599862
-4.549543686,-3.030014205,3.822584636,-0.299683875
-3.560520947,-4.232561605,3.593976097,-0.180756385
-2.578645523,-3.678186542,4.007517429,-0.327514924
-3.268646304,-4.201261402,3.825905314,-0.185117775
-3.323303471,-4.241997318,3.818409237,-0.179833222
-3.001383544,-3.696197338,3.603163472,-0.274923023
-3.477798776,-4.186144127,3.607445356,-0.187018211
-3.275824774,-4.200946063,3.818488877,-0.182471378
-2.26578845,-3.362928897,4.003208963,-0.445361047
-2.589294536,-3.686024544,4.005658862,-0.326749314
-2.646508402,-3.339181707,3.594734292,-0.365699236
-2.982230293,-3.67702489,3.598568152,-0.277968901
-3.291905645,-4.213216022,3.817280046,-0.18191703
-2.942862392,-3.744681329,3.821673275,-0.355132285
-2.424806859,-3.34837189,3.824651325,-0.374592065
-2.259876576,-3.352390153,4.000765515,-0.449846627
-2.594896707,-3.691766953,4.004497781,-0.324269524
-2.988327842,-3.673509461,3.592050286,-0.279167544
-3.305973967,-2.698714623,3.824190778,-0.31255168
-3.548582089,-4.227532098,3.5944897,-0.180014559
-2.257458788,-3.356153363,4.007265334,-0.450508821
-2.255499909,-3.349683233,4.000623211,-0.450343324
-2.437124054,-3.35971562,3.826265603,-0.371199896
-2.763270334,-3.697138646,3.832345985,-0.301502186
-3.50931622,-4.206431874,3.607954932,-0.18780543
-3.097789823,-4.198620965,4.007062664,-0.330447494
-2.9766412,-3.676181869,3.603047373,-0.278846081
-2.99842254,-3.688353541,3.600047679,-0.276641937
-2.593047504,-3.688165391,4.002933804,-0.323588226
-2.76185848,-3.68429988,3.823192515,-0.303354124
-2.575816686,-3.67523685,4.008011079,-0.327869131
-3.254182023,-3.281078376,3.601194051,-0.305571503
-2.670183469,-3.355744916,3.593152954,-0.359622769
-3.105975013,-4.187033185,3.999762235,-0.330987607
-3.530178093,-4.206285232,3.593481504,-0.184566722
-3.50248197,-4.197179934,3.604931886,-0.18690326
-3.080297857,-4.180724156,4.009409025,-0.33368233
-2.764281832,-3.695974515,3.828653727,-0.300262776
-3.463094897,-4.164832131,3.599428613,-0.187644991
-2.612967371,-2.421980397,3.883407891,-0.278379521
-2.647640489,-3.342107355,3.602356499,-0.365391049
-2.760727417,-7.042864504,3.985065384,-0.315658546
-2.258560296,-3.356954634,4.004393908,-0.447626054
-2.595757302,-3.702517012,4.011070596,-0.321985778
-3.120487432,-4.210091251,4.002486766,-0.329301824
-2.764040355,-3.699926149,3.832380726,-0.300567322
-2.592236613,-3.691777157,4.005238136,-0.323506119
-2.798810969,-3.268696484,3.973261834,-0.226872568
-3.070556082,-4.17113928,4.008151991,-0.334595938
-2.435610481,-3.363500248,3.832199538,-0.371769862
-3.093262404,-4.19086909,4.005301319,-0.331922785
